a0,a1,beta,epsilondelta
0.0115804,0.0263556,0.472435,0.0329268,0.216921
0.018421,0.0212503,0.875081,0.0190546,0.108416
0.018421,0.0212503,0.875081,0.0190546,0.108416
0.018421,0.0212503,0.875081,0.0190546,0.108416
0.0132931,0.0256564,0.534844,0.0335836,0.0938947
0.0132931,0.0256564,0.534844,0.0335836,0.0938947
0.0132931,0.0256564,0.534844,0.0335836,0.0938947
0.0132931,0.0256564,0.534844,0.0335836,0.0938947
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.0099839,0.021549,0.915902,0.0215622,0.154999
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
