id,time_of_infected,time_of_removed,position_x,position_y,susceptibility level,infectivity level,cluster_id
79,0,0,-2.01105,4.42041,0.228201,1,0
80,0,0,4.3093,2.76298,0.334171,1,0
81,0,0,1.82534,8.31876,0.343013,1,0
82,0,0,2.50142,1.15904,0.349261,1,0
83,0,0,4.5826,8.03714,0.570022,1,0
84,0,0,1.97124,5.23254,0.571348,1,0
85,0,0,10.3934,3.86634,0.49052,1,0
86,0,0,2.31425,2.64595,0.583693,1,0
87,0,0,1.83784,5.49695,0.339916,1,0
88,0,0,4.15998,6.77779,0.15759,1,0
89,0,0,4.62448,2.84878,0.553282,1,0
90,0,0,2.14966,1.3501,0.312413,1,0
91,0,0,5.48831,5.75103,0.804648,1,0
92,0,0,4.42563,9.30866,0.714212,1,0
93,0,0,4.31133,4.84159,0.264926,1,0
94,0,0,3.23464,1.75531,0.192908,1,0
95,0,0,3.75116,5.28598,0.306619,1,0
96,0,0,-0.937462,4.59215,0.305855,1,0
97,0,0,5.79969,-0.100844,0.313196,1,0
98,0,0,-0.279364,3.50415,0.522271,1,0
99,0,0,4.24686,7.47563,0.360361,1,0
100,0,0,-1.25604,8.27516,0.275433,1,0
101,0,0,5.43512,7.14453,0.449635,1,0
102,0,0,1.02969,-0.603627,0.534828,1,0
103,0,0,3.38075,-1.5196,0.143568,1,0
104,0,0,2.70367,-2.42307,0.355936,1,0
105,0,0,2.02283,6.76266,0.190788,1,0
106,0,0,0.473792,0.218328,0.710764,1,0
107,0,0,-1.40388,0.589227,0.267671,1,0
108,0,0,4.86633,0.33477,0.740742,1,0
109,0,0,4.82449,3.2529,0.185496,1,0
110,0,0,2.58538,2.50745,0.162518,1,0
111,0,0,0.92591,3.1799,0.285163,1,0
112,0,0,1.07122,2.41019,0.606093,1,0
113,0,0,4.31669,2.83245,0.233465,1,0
114,0,0,6.11292,1.19332,0.0847682,1,0
115,0,0,4.13497,0.793612,0.498404,1,0
116,0,0,3.18456,3.97693,0.753052,1,0
117,0,0,2.95913,1.66789,0.29834,1,0
118,0,0,0.928213,2.66003,0.398844,1,0
119,0,0,4.69251,9.72938,0.45117,1,0
120,0,0,-1.48306,-3.73494,0.0491054,1,0
121,0,0,4.51708,7.60312,0.24851,1,0
122,0,0,-4.51558,6.6329,0.746649,1,0
123,0,0,-0.38496,1.83409,0.737701,1,0
124,0,0,0.951456,0.734829,0.221885,1,0
125,0,0,0.740562,2.99913,0.688794,1,0
126,0,0,4.70259,5.08791,0.647264,1,0
127,0,0,2.6972,4.84526,0.548065,1,0
128,0,0,5.32656,6.2953,0.128514,1,0
129,0,0,5.38435,7.7748,0.831091,1,0
130,0,0,-1.62734,3.34774,0.310907,1,0
131,0,0,0.116453,2.33958,0.555398,1,0
132,0,0,1.70804,5.73821,0.32333,1,0
133,0,0,-3.70958,2.53765,0.274404,1,0
134,0,0,0.246352,5.37758,0.684645,1,0
135,0,0,-5.18383,4.84545,0.305617,1,0
136,0,0,8.08649,4.4228,0.798307,1,0
137,0,0,2.15033,3.85765,0.386872,1,0
138,0,0,6.11313,6.07726,0.25716,1,0
139,0,0,3.97265,6.50176,0.662114,1,0
140,0,0,-0.317641,-2.08602,0.508123,1,0
141,0,0,1.69878,6.94397,0.14769,1,0
142,0,0,3.20159,6.13189,0.230022,1,0
143,0,0,-1.8477,7.9703,0.381894,1,0
144,0,0,9.5054,-1.59043,0.676026,1,0
145,0,0,4.80845,6.60173,0.507076,1,0
146,0,0,3.23937,4.65436,0.44426,1,0
147,0,0,0.287566,6.19523,0.201214,1,0
148,0,0,10.3058,3.75322,0.244789,1,0
149,0,0,5.56988,5.69386,0.350783,1,0
150,0,0,15.7988,27.7259,0.329135,1,0
151,0,0,13.35,22.1442,0.305938,1,0
152,0,0,14.2797,23.8744,0.59975,1,0
153,0,0,12.1618,24.824,0.63126,1,0
154,0,0,21.3422,25.3301,0.486452,1,0
155,0,0,16.903,26.1915,0.027937,1,0
156,0,0,13.7236,27.7141,0.273244,1,0
157,0,0,18.4506,24.2153,0.521365,1,0
158,0,0,14.3163,25.9716,0.30345,1,0
159,0,0,14.8201,24.2101,0.219507,1,0
160,0,0,15.4174,25.6813,0.423746,1,0
161,0,0,17.5659,26.6882,0.476639,1,0
162,0,0,18.7397,25.7112,0.0973044,1,0
163,0,0,10.9303,27.0884,0.371681,1,0
164,0,0,19.357,22.9306,0.578756,1,0
165,0,0,18.7915,22.9965,0.0817139,1,0
166,0,0,14.3293,23.9639,0.281501,1,0
167,0,0,12.7942,22.9607,0.651031,1,0
168,0,0,11.7532,25.4145,0.527946,1,0
169,0,0,19.3445,23.5543,0.11624,1,0
170,0,0,15.8773,27.0675,0.26896,1,0
171,0,0,14.8158,23.5091,0.57146,1,0
172,0,0,17.3477,22.4065,0.119963,1,0
173,0,0,21.8755,28.645,0.115341,1,0
174,0,0,19.2775,26.9526,0.528052,1,0
175,0,0,21.1221,26.734,0.767553,1,0
176,0,0,13.7788,24.8306,0.575981,1,0
177,0,0,16.3544,21.6825,0.515611,1,0
178,0,0,15.9414,26.3695,0.290753,1,0
179,0,0,13.0742,26.8868,0.548368,1,0
180,0,0,17.0214,22.916,0.149708,1,0
181,0,0,13.2049,26.4971,0.28125,1,0
182,0,0,16.2533,28.0168,0.755808,1,0
183,0,0,12.4198,21.28,0.486485,1,0
184,0,0,19.6697,28.8058,0.221397,1,0
185,0,0,15.2511,19.8859,0.187568,1,0
186,0,0,14.8966,25.2185,0.627302,1,0
187,0,0,18.1248,21.6057,0.661864,1,0
188,0,0,17.3382,23.4143,0.293589,1,0
189,0,0,15.7637,23.676,0.608365,1,0
190,0,0,18.5114,24.1427,0.426633,1,0
191,0,0,17.0917,23.7695,0.234839,1,0
192,0,0,15.7285,25.6859,0.342133,1,0
193,0,0,20.4063,21.5851,0.416733,1,0
194,0,0,17.6913,20.4905,0.373674,1,0
195,0,0,14.5522,23.4574,0.438684,1,0
196,0,0,13.017,31.6503,0.329569,1,0
197,0,0,21.2742,24.9735,0.189079,1,0
198,0,0,7.66714,20.9084,0.189773,1,0
199,0,0,15.8504,29.5021,0.238035,1,0
200,0,0,19.8743,27.2324,0.653004,1,0
201,0,0,18.8776,22.6398,0.782661,1,0
202,0,0,9.72642,23.1991,0.169449,1,0
203,0,0,18.4504,24.6515,0.175472,1,0
204,0,0,15.4256,24.0481,0.523325,1,0
205,0,0,10.9854,22.1731,0.148036,1,0
206,0,0,17.0544,29.6524,0.230075,1,0
207,0,0,12.4491,29.2359,0.323352,1,0
208,0,0,16.5271,25.8696,0.552086,1,0
209,0,0,13.1495,20.9175,0.175976,1,0
210,0,0,18.5501,22.7546,0.366883,1,0
211,0,0,18.5653,24.5298,0.42714,1,0
212,0,0,16.9762,22.8789,0.916008,1,0
213,0,0,16.0936,24.0918,0.333435,1,0
214,0,0,20.3543,27.5771,0.356901,1,0
