a0,a1,beta,epsilon1,epsilon2,epsilon3
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00573864,0.0234244,0.90913,0.0545051,0.0673208,0.0321556
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
