a0,a1,beta,
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.827143
0.827143,0.00266012,49.9554,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,0.274112
0.274112,0.0149447,35.1357,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
3.86974,0.0320649,37.0382,3.86974
