a0,a1,beta
0.0837931,0.693979,6.17028
0.0837931,0.693979,6.17028
0.0837931,0.693979,6.17028
0.0837931,0.693979,6.17028
0.0837931,0.693979,6.17028
0.0837931,0.693979,6.17028
0.0837931,0.693979,6.17028
0.0837931,0.693979,6.17028
0.529116,0.469632,7.47498
0.529116,0.469632,7.47498
0.529116,0.469632,7.47498
0.529116,0.469632,7.47498
0.529116,0.469632,7.47498
0.529116,0.469632,7.47498
0.529116,0.469632,7.47498
0.529116,0.469632,7.47498
0.529116,0.469632,7.47498
0.529116,0.469632,7.47498
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.565835,0.180298,7.45057
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.467825,0.150213,7.06652
0.500684,0.173612,9.9696
0.813364,0.0982418,9.54884
0.813364,0.0982418,9.54884
0.813364,0.0982418,9.54884
0.813364,0.0982418,9.54884
0.813364,0.0982418,9.54884
0.813364,0.0982418,9.54884
0.813364,0.0982418,9.54884
0.813364,0.0982418,9.54884
0.813364,0.0982418,9.54884
1.07891,0.0138422,8.16226
0.543934,0.0102942,5.3818
0.543934,0.0102942,5.3818
0.543934,0.0102942,5.3818
0.543934,0.0102942,5.3818
0.543934,0.0102942,5.3818
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
