a0,a1,beta,
2.6699,3.83541,1.68865,2.6699
2.6699,3.83541,1.68865,2.6699
2.6699,3.83541,1.68865,2.6699
2.6699,3.83541,1.68865,2.6699
2.6699,3.83541,1.68865,2.6699
2.6699,3.83541,1.68865,2.6699
2.6699,3.83541,1.68865,2.6699
2.6699,3.83541,1.68865,2.6699
2.6699,3.83541,1.68865,2.50847
2.50847,3.7183,1.69504,2.50847
2.50847,3.7183,1.69504,2.50847
2.50847,3.7183,1.69504,2.50847
2.50847,3.7183,1.69504,2.50847
2.50847,3.7183,1.69504,2.50847
2.50847,3.7183,1.69504,2.24027
2.24027,3.15532,1.6616,2.24027
2.24027,3.15532,1.6616,2.24027
2.24027,3.15532,1.6616,2.24027
2.24027,3.15532,1.6616,2.24027
2.24027,3.15532,1.6616,2.24027
2.24027,3.15532,1.6616,2.24027
2.24027,3.15532,1.6616,2.24027
2.24027,3.15532,1.6616,1.90443
1.90443,3.97302,1.61251,1.90443
1.90443,3.97302,1.61251,1.90443
1.90443,3.97302,1.61251,1.78606
1.78606,4.43906,1.5596,1.78606
1.78606,4.43906,1.5596,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,1.5691
1.5691,4.93677,1.54807,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.60307
2.60307,4.61449,1.69672,2.13344
2.13344,5.39444,1.66295,2.13344
2.13344,5.39444,1.66295,2.13344
2.13344,5.39444,1.66295,2.13344
2.13344,5.39444,1.66295,2.13344
2.13344,5.39444,1.66295,2.13344
2.13344,5.39444,1.66295,2.13344
2.13344,5.39444,1.66295,2.13344
2.13344,5.39444,1.66295,2.13344
2.13344,5.39444,1.66295,2.13344
2.13344,5.39444,1.66295,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,2.0497
2.0497,5.02002,1.64588,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.98712
1.98712,4.4587,1.5769,1.88241
1.88241,3.88331,1.52281,1.88241
1.88241,3.88331,1.52281,1.88241
1.88241,3.88331,1.52281,1.88241
1.88241,3.88331,1.52281,1.88241
1.88241,3.88331,1.52281,1.88241
