a0,a1,beta,tilde_beta
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.0626629,0.314875,2.95915,4.34585
0.029151,0.303685,2.66573,4.56019
0.029151,0.303685,2.66573,4.56019
0.029151,0.303685,2.66573,4.56019
0.029151,0.303685,2.66573,4.56019
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.0544782,0.308635,2.52407,7.70369
0.057188,0.342741,2.89774,8.71216
0.057188,0.342741,2.89774,8.71216
0.057188,0.342741,2.89774,8.71216
0.057188,0.342741,2.89774,8.71216
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.073786,0.443876,2.6524,5.71817
0.0769194,0.463652,2.50402,6.95002
0.0769194,0.463652,2.50402,6.95002
0.0769194,0.463652,2.50402,6.95002
0.0769194,0.463652,2.50402,6.95002
0.0769194,0.463652,2.50402,6.95002
0.0769194,0.463652,2.50402,6.95002
0.0769194,0.463652,2.50402,6.95002
0.0769194,0.463652,2.50402,6.95002
0.0769194,0.463652,2.50402,6.95002
0.0769194,0.463652,2.50402,6.95002
0.0164,0.43938,2.80996,5.47724
0.0164,0.43938,2.80996,5.47724
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0245232,0.470212,2.022,7.86421
0.0271805,0.466964,2.57179,8.42792
0.0271805,0.466964,2.57179,8.42792
0.0271805,0.466964,2.57179,8.42792
0.0271805,0.466964,2.57179,8.42792
0.0271805,0.466964,2.57179,8.42792
0.0333304,0.431492,2.17049,7.12274
0.0333304,0.431492,2.17049,7.12274
0.0159363,0.551074,2.28988,6.08448
0.0159363,0.551074,2.28988,6.08448
0.0159363,0.551074,2.28988,6.08448
