a0,a1,beta,epsilon
0.00848858,0.0351024,0.758728,0.0299596
0.00848858,0.0351024,0.758728,0.0299596
0.00848858,0.0351024,0.758728,0.0299596
0.012757,0.0266883,0.575669,0.0358674
0.012757,0.0266883,0.575669,0.0358674
0.012757,0.0266883,0.575669,0.0358674
0.012757,0.0266883,0.575669,0.0358674
0.012757,0.0266883,0.575669,0.0358674
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0178275,0.0302639,0.226262,0.0327381
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.0207253,0.0204003,0.447882,0.0234255
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
0.00819634,0.0331065,0.829411,0.0426375
