a0,a1,beta,epsilon,delta
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.000422729,0.0521667,0.365521,0.0295727,0.453536
0.00887227,0.0545967,0.457984,0.0349388,0.146551
0.00887227,0.0545967,0.457984,0.0349388,0.146551
0.00887227,0.0545967,0.457984,0.0349388,0.146551
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
