a0,a1,beta,tilde_beta,delta
0.0451536,0.0513507,1.07536,3.28166,1.07322
0.0451536,0.0513507,1.07536,3.28166,1.07322
0.0451536,0.0513507,1.07536,3.28166,1.07322
0.0451536,0.0513507,1.07536,3.28166,1.07322
0.0451536,0.0513507,1.07536,3.28166,1.07322
0.0451536,0.0513507,1.07536,3.28166,1.07322
0.0450572,0.0732188,1.31068,3.41526,1.03557
0.0450572,0.0732188,1.31068,3.41526,1.03557
0.0568713,0.0614948,1.27748,3.21391,1.1548
0.0568713,0.0614948,1.27748,3.21391,1.1548
0.0568713,0.0614948,1.27748,3.21391,1.1548
0.0568713,0.0614948,1.27748,3.21391,1.1548
0.0568713,0.0614948,1.27748,3.21391,1.1548
0.0568713,0.0614948,1.27748,3.21391,1.1548
0.0484787,0.0594072,1.09813,3.04114,1.11134
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0555782,0.0519534,1.38222,3.01183,1.07182
