a0,a1,beta,
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.38927
2.38927,1.50638,1.55162,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.28095
2.28095,0.99046,1.51724,2.89047
2.89047,1.34209,1.55381,2.89047
2.89047,1.34209,1.55381,2.89047
2.89047,1.34209,1.55381,2.89047
2.89047,1.34209,1.55381,2.89047
2.89047,1.34209,1.55381,2.89047
2.89047,1.34209,1.55381,2.89047
2.89047,1.34209,1.55381,2.89047
2.89047,1.34209,1.55381,3.00944
3.00944,1.66145,1.57185,3.00944
3.00944,1.66145,1.57185,2.55804
2.55804,2.60154,1.5509,2.55804
2.55804,2.60154,1.5509,2.55804
2.55804,2.60154,1.5509,2.55804
2.55804,2.60154,1.5509,2.55804
2.55804,2.60154,1.5509,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,2.14508
2.14508,1.96017,1.48684,1.27233
1.27233,1.59101,1.45057,1.27233
1.27233,1.59101,1.45057,1.27233
1.27233,1.59101,1.45057,1.27233
1.27233,1.59101,1.45057,1.27233
1.27233,1.59101,1.45057,1.27233
1.27233,1.59101,1.45057,1.27233
1.27233,1.59101,1.45057,1.27233
1.27233,1.59101,1.45057,1.27233
1.27233,1.59101,1.45057,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.40496
1.40496,0.900331,1.37457,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,1.48853
1.48853,0.896519,1.40096,2.00232
2.00232,0.730383,1.41565,2.00232
2.00232,0.730383,1.41565,2.00232
2.00232,0.730383,1.41565,2.00232
2.00232,0.730383,1.41565,2.00232
2.00232,0.730383,1.41565,2.00232
2.00232,0.730383,1.41565,2.00232
2.00232,0.730383,1.41565,2.00232
